"seed","epoch","validation_force_mae","training_loss","learning_rate"
"42",0,0.0560024604201317,0.0247507735075487,5e-04
"42",1,0.0592910349369049,0.0126906856003188,5e-04
"42",2,0.0724685043096542,0.0107045419281349,5e-04
"42",3,0.0837651938199997,0.0126972407906578,5e-04
"42",4,0.0883348807692528,0.00985824400868296,5e-04
"42",5,0.0919160470366478,0.0130776510623036,5e-04
"42",6,0.100072585046291,0.00951981737330243,5e-04
"42",7,0.106208398938179,0.0110069741397183,5e-04
"42",8,0.110216438770294,0.00832346581773891,5e-04
"42",9,0.114442475140095,0.00704219289889352,5e-04
"42",10,0.118755988776684,0.0109965954461586,5e-04
"42",11,0.122342824935913,0.00723778642350226,0.00025
"42",12,0.124274127185345,0.00968891296088259,0.00025
"42",13,0.125744417309761,0.00772957970275456,0.00025
"42",14,0.127334281802177,0.00951194054505322,0.00025
"42",15,0.128775075078011,0.00719524672604166,0.00025
"42",16,0.129596620798111,0.00598163879476488,0.00025
"42",17,0.130255788564682,0.00746659956962503,0.00025
"42",18,0.133716464042664,0.0240763883221007,0.00025
"42",19,0.135661244392395,0.0073457614344079,0.00025
"43",0,0.0514863394200802,0.0162275289012541,5e-04
"43",1,0.0616390407085419,0.014224855579414,5e-04
"43",2,0.0755295306444168,0.0124784558793181,5e-04
"43",3,0.0833826512098312,0.00931366457371041,5e-04
"43",4,0.0898775830864906,0.0099770884753525,5e-04
"43",5,0.0976116955280304,0.01186163559737,5e-04
"43",6,0.104100532829762,0.0124651030509995,5e-04
"43",7,0.109596140682697,0.00821095995797805,5e-04
"43",8,0.115885309875011,0.0102564261596854,5e-04
"43",9,0.11938451230526,0.0108203434119787,5e-04
"43",10,0.122825093567371,0.00652941437783738,5e-04
"43",11,0.128398030996323,0.00710424802673515,0.00025
"43",12,0.129715368151665,0.00722696013690438,0.00025
"43",13,0.1303750872612,0.0103693363771526,0.00025
"43",14,0.13113409280777,0.0068886229491909,0.00025
"43",15,0.132825896143913,0.00747959023919975,0.00025
"43",16,0.13453471660614,0.0110597029529345,0.00025
"43",17,0.135182067751884,0.00740756718096236,0.00025
"43",18,0.13605959713459,0.00762356471250314,0.00025
"43",19,0.138467252254486,0.0063172408781611,0.00025
"44",0,0.056569442152977,0.0235180084891908,5e-04
"44",1,0.0539464615285397,0.0143355825493927,5e-04
"44",2,0.0663153380155563,0.0135907220019362,5e-04
"44",3,0.0808712691068649,0.0127463891167281,5e-04
"44",4,0.0870827585458755,0.0104354715540467,5e-04
"44",5,0.089664064347744,0.009589639308615,5e-04
"44",6,0.0941876247525215,0.00789297849223658,5e-04
"44",7,0.101044163107872,0.00817008723970503,5e-04
"44",8,0.106610424816608,0.0111800469312584,5e-04
"44",9,0.109552003443241,0.00950628481677995,5e-04
"44",10,0.113784223794937,0.00739969889855274,5e-04
"44",11,0.117970295250416,0.0113586717739054,5e-04
"44",12,0.12250255048275,0.0071240812594624,0.00025
"44",13,0.123689085245132,0.00778789806645364,0.00025
"44",14,0.125216782093048,0.00780059271437494,0.00025
"44",15,0.126654028892517,0.00984158052960993,0.00025
"44",16,0.129199847579002,0.0101590713848054,0.00025
"44",17,0.130614534020424,0.00704138772016449,0.00025
"44",18,0.13222461938858,0.0151924795845844,0.00025
"44",19,0.133333384990692,0.00761021642210835,0.00025
