"record_id","disagreement","group_id","family"
"cu_phase2-a818b96bea84d189",3.52081793215869e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-b279a9fdd708ef79",4.87101558884308e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-b47a9ae7c126b8dc",3.47315487698413e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-ca9b40576660d843",5.04280329994018e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-cfb7007801fb4c12",4.20262416990476e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-d6b254d09d83fad0",3.88053426666177e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-db6a2c8a354d7893",3.86742361765793e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-dba43f6bd0bdc1e4",4.67721985507181e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-de5a29bd3c5eb0f6",3.42814769672317e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-e1610c02b33fde93",4.28435762618641e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-ec3c3113e880938a",4.94133438615893e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-ee844fae1e71f52d",4.37533690882151e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-ef0f7c51149ca4ab",4.82307611814863e-07,"elastic_mode_2","Elastic
(n=80)"
"cu_phase2-f2730cdd93914067",4.71253624351048e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-f3da11266ab7f954",4.39943801603653e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-f64ce4d1bc6f7e6b",4.28291015654029e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-f8887ad1b65728f3",3.98899697076616e-07,"elastic_mode_4","Elastic
(n=80)"
"cu_phase2-fbe1749aa3e1546e",4.20269926474423e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-fe54b7fbdfbf66b1",3.85758195748636e-07,"elastic_mode_5","Elastic
(n=80)"
"cu_phase2-fec47ec3f1647382",3.61277048132177e-07,"elastic_mode_3","Elastic
(n=80)"
"cu_phase2-005632fa23c18fac",0.0068363955654988,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-069a9869b1d50cce",0.0076686229166473,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-088febb635d2f323",0.0067029395702194,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-108f9c544717a1d3",0.00751735313277934,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-17e1dbe41f195dbe",0.00646249022077677,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-1ef657cae17ceb88",0.00708505012484104,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-2142415dcec6cb53",0.00675985092512674,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-23593860243617ec",0.007298182088215,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-27e245da43210ba3",0.00744929982016887,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-32ab4a13a45ab0e4",0.00703268253626745,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-34f710d736b0c662",0.00710820468148987,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-425e341c1fac8c0e",0.00725279073840025,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-5a5460e6e5fb50f1",0.00746789100104094,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-5c9180bdb8da3fa0",0.00688550254930716,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-5dc73595f3204924",0.00726789508960051,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-63d90f3cbf66223d",0.00689836573370635,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-7bc2403fa6dc00b1",0.00708378007069769,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-80f3b38f37d74f72",0.00740820018731457,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-8414f3028f88ffff",0.00856290379803627,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-863be7c135b33843",0.00717295288157878,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-887014b48b209a22",0.00697000092326267,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-8f7da25aa92ee0a6",0.00732499549936611,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-9274fb26cc1c9426",0.0075092009020819,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-9758788f43e684cf",0.0071985380885944,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-9bcf04eaaf7c6ba5",0.00723657943228071,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-9c2ecca82328c361",0.00707666961860021,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-9c9b8e705fa2541a",0.00712031143613118,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-a5c5f705ad7c1813",0.00739383183342796,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-c98d6570184d499e",0.00707539958735005,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-cb01163fc376170b",0.00699242556578432,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-d02d098fa41d9b07",0.0077573067926228,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-db9f8a61819e2fa7",0.00718069318906804,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-dce45da7101fafa8",0.0069677350713711,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-dde842ceddb38719",0.00735234827169841,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-e19e8ff6daa28788",0.00718565808134007,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-e47b5e6170484331",0.00709319347450819,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-e85c25e094f19f03",0.00717052097159029,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-e9cbd09e11ab5281",0.0069092976049582,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-eb3c45d370cfda37",0.00685411155512964,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-ee0cabb4b3bcbb7c",0.00681952866347975,"aimd_nvt_1000k","AIMD 1000 K
(n=40)"
"cu_phase2-01a323b5b16f81cf",0.00610512008854555,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-082e6af690d484a9",0.0065416257771437,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-0cfc3ff1c60bad07",0.00656212077181804,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-25dd297e9851b5cd",0.00624318542199347,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-2b47628cbde83605",0.00665690298445001,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-34b03321ca0c8d48",0.00600854684715681,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-3820ba15e4b72842",0.00648897155234709,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-3fd3526e75af8473",0.00610254689537263,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-573a3b6e027c7f7e",0.00639634257537391,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-67bcd06085a133fc",0.00622649463091145,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-68437e47f6197c4a",0.00642270164812629,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-7ec096ae53774b05",0.00622617531139471,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-7fbdfea15dfe83db",0.0059580834090667,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-8576dcf1e8738d47",0.00614946079678531,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-8b38e90ec4b4388c",0.00651791924272962,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-948b90e76fbe7103",0.00692396842839878,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-9f4ad41a8d559158",0.00631600544847746,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-ab24a2268873c53c",0.00616895045377332,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-d64bec897f2daedf",0.00651730953011764,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-e97d0bedc7bab944",0.00642806716082923,"vacancy_3000k","Vacancy 3000 K
(n=20)"
"cu_phase2-154395f253b1385b",0.000984705923004157,"surface_3_3_2","Surface
(n=1)"
